Group,Replicate,Time,CFU,CFUlog10,Condition,Volume,AQL,BQL,Institute,Sample,Comments
2,3,1,290,2.46239799789896,0,100,0,0,A,MXF 10X MIC,100µl quad
2,1,1,400,2.60205999132796,1,10,0,0,A,MXF 10X MIC,10µl 4 drops
2,2,1,600,2.77815125038364,1,10,0,0,A,MXF 10X MIC,10µl 4 drops
2,3,1,1700,3.23044892137827,1,10,0,0,A,MXF 10X MIC,10µl 4 drops
2,1,1,400,2.60205999132796,2,10,0,0,A,MXF 10X MIC,10µl single drop
2,2,1,600,2.77815125038364,2,10,0,0,A,MXF 10X MIC,10µl single drop
2,3,1,1500,3.17609125905568,2,10,0,0,A,MXF 10X MIC,10µl single drop
2,1,1,NA,NA,3,2.5,0,1,A,MXF 10X MIC,2.5µl single drop
2,2,1,NA,NA,3,2.5,0,1,A,MXF 10X MIC,2.5µl single drop
2,3,1,400,2.60205999132796,3,2.5,0,0,A,MXF 10X MIC,2.5µl single drop
3,1,1,350,2.54406804435028,0,100,0,0,A,INH 1X MIC,100µl quad
3,2,1,390,2.5910646070265,0,100,0,0,A,INH 1X MIC,100µl quad
3,3,1,280,2.44715803134222,0,100,0,0,A,INH 1X MIC,100µl quad
3,1,1,100,2,1,10,0,0,A,INH 1X MIC,10µl 4 drops
3,2,1,500,2.69897000433602,1,10,0,0,A,INH 1X MIC,10µl 4 drops
3,3,1,400,2.60205999132796,1,10,0,0,A,INH 1X MIC,10µl 4 drops
3,1,1,900,2.95424250943932,2,10,0,0,A,INH 1X MIC,10µl single drop
3,2,1,300,2.47712125471966,2,10,0,0,A,INH 1X MIC,10µl single drop
3,3,1,900,2.95424250943932,2,10,0,0,A,INH 1X MIC,10µl single drop
3,1,1,400,2.60205999132796,3,2.5,0,0,A,INH 1X MIC,2.5µl single drop
3,2,1,2800,3.44715803134222,3,2.5,0,0,A,INH 1X MIC,2.5µl single drop
3,3,1,2400,3.38021124171161,3,2.5,0,0,A,INH 1X MIC,2.5µl single drop
4,1,1,130,2.11394335230684,0,100,0,0,A,INH 10X MIC,100µl quad
4,2,1,240,2.38021124171161,0,100,0,0,A,INH 10X MIC,100µl quad
4,3,1,290,2.46239799789896,0,100,0,0,A,INH 10X MIC,100µl quad
4,1,1,100,2,1,10,0,0,A,INH 10X MIC,10µl 4 drops
4,2,1,100,2,1,10,0,0,A,INH 10X MIC,10µl 4 drops
4,3,1,100,2,1,10,0,0,A,INH 10X MIC,10µl 4 drops
4,1,1,200,2.30102999566398,2,10,0,0,A,INH 10X MIC,10µl single drop
4,2,1,NA,NA,2,10,0,1,A,INH 10X MIC,10µl single drop
4,3,1,NA,NA,2,10,0,1,A,INH 10X MIC,10µl single drop
4,1,1,800,2.90308998699194,3,2.5,0,0,A,INH 10X MIC,2.5µl single drop
4,2,1,2000,3.30102999566398,3,2.5,0,0,A,INH 10X MIC,2.5µl single drop
4,3,1,2000,3.30102999566398,3,2.5,0,0,A,INH 10X MIC,2.5µl single drop
0,1,2,11000,4.04139268515823,0,100,0,0,A,untreated,100µl quad
0,2,2,14300,4.15533603746506,0,100,0,0,A,untreated,100µl quad
0,3,2,11800,4.07188200730613,0,100,0,0,A,untreated,100µl quad
0,1,2,24000,4.38021124171161,1,10,0,0,A,untreated,10µl 4 drops
0,2,2,17000,4.23044892137827,1,10,0,0,A,untreated,10µl 4 drops
0,3,2,23000,4.36172783601759,1,10,0,0,A,untreated,10µl 4 drops
0,1,2,17000,4.23044892137827,2,10,0,0,A,untreated,10µl single drop
0,2,2,23000,4.36172783601759,2,10,0,0,A,untreated,10µl single drop
0,3,2,22000,4.34242268082221,2,10,0,0,A,untreated,10µl single drop
0,1,2,4400,3.64345267648619,3,2.5,0,0,A,untreated,2.5µl single drop
0,2,2,5200,3.7160033436348,3,2.5,0,0,A,untreated,2.5µl single drop
0,3,2,5200,3.7160033436348,3,2.5,0,0,A,untreated,2.5µl single drop
1,1,2,11400,4.05690485133647,0,100,0,0,A,MXF 1X MIC,100µl quad
1,2,2,9000,3.95424250943932,0,100,0,0,A,MXF 1X MIC,100µl quad
1,3,2,10000,4,0,100,0,0,A,MXF 1X MIC,100µl quad
1,1,2,15000,4.17609125905568,1,10,0,0,A,MXF 1X MIC,10µl 4 drops
1,2,2,9000,3.95424250943932,1,10,0,0,A,MXF 1X MIC,10µl 4 drops
1,3,2,13000,4.11394335230684,1,10,0,0,A,MXF 1X MIC,10µl 4 drops
1,1,2,11000,4.04139268515823,2,10,0,0,A,MXF 1X MIC,10µl single drop
1,2,2,22000,4.34242268082221,2,10,0,0,A,MXF 1X MIC,10µl single drop
1,3,2,7000,3.84509804001426,2,10,0,0,A,MXF 1X MIC,10µl single drop
1,1,2,4800,3.68124123737559,3,2.5,0,0,A,MXF 1X MIC,2.5µl single drop
1,2,2,4800,3.68124123737559,3,2.5,0,0,A,MXF 1X MIC,2.5µl single drop
1,3,2,3200,3.50514997831991,3,2.5,0,0,A,MXF 1X MIC,2.5µl single drop
2,1,2,120,2.07918124604762,0,100,0,0,A,MXF 10X MIC,100µl quad
2,2,2,150,2.17609125905568,0,100,0,0,A,MXF 10X MIC,100µl quad
2,3,2,100,2,0,100,0,0,A,MXF 10X MIC,100µl quad
2,1,2,800,2.90308998699194,1,10,0,0,A,MXF 10X MIC,10µl 4 drops
2,2,2,100,2,1,10,0,0,A,MXF 10X MIC,10µl 4 drops
2,3,2,NA,NA,1,10,0,1,A,MXF 10X MIC,10µl 4 drops
2,1,2,100,2,2,10,0,0,A,MXF 10X MIC,10µl single drop
2,2,2,100,2,2,10,0,0,A,MXF 10X MIC,10µl single drop
2,3,2,NA,NA,2,10,0,1,A,MXF 10X MIC,10µl single drop
2,1,2,400,2.60205999132796,3,2.5,0,0,A,MXF 10X MIC,2.5µl single drop
2,2,2,1200,3.07918124604762,3,2.5,0,0,A,MXF 10X MIC,2.5µl single drop
2,3,2,NA,NA,3,2.5,0,1,A,MXF 10X MIC,2.5µl single drop
3,1,2,150,2.17609125905568,0,100,0,0,A,INH 1X MIC,100µl quad
3,2,2,190,2.27875360095283,0,100,0,0,A,INH 1X MIC,100µl quad
3,3,2,180,2.25527250510331,0,100,0,0,A,INH 1X MIC,100µl quad
3,1,2,NA,NA,1,10,0,1,A,INH 1X MIC,10µl 4 drops
3,2,2,NA,NA,1,10,0,1,A,INH 1X MIC,10µl 4 drops
3,3,2,NA,NA,1,10,0,1,A,INH 1X MIC,10µl 4 drops
3,1,2,NA,NA,2,10,0,1,A,INH 1X MIC,10µl single drop
3,2,2,300,2.47712125471966,2,10,0,0,A,INH 1X MIC,10µl single drop
3,3,2,300,2.47712125471966,2,10,0,0,A,INH 1X MIC,10µl single drop
3,1,2,400,2.60205999132796,3,2.5,0,0,A,INH 1X MIC,2.5µl single drop
3,2,2,NA,NA,3,2.5,0,1,A,INH 1X MIC,2.5µl single drop
3,3,2,NA,NA,3,2.5,0,1,A,INH 1X MIC,2.5µl single drop
4,1,2,80,1.90308998699194,0,100,0,0,A,INH 10X MIC,100µl quad
4,2,2,40,1.60205999132796,0,100,0,0,A,INH 10X MIC,100µl quad
4,3,2,20,1.30102999566398,0,100,0,0,A,INH 10X MIC,100µl quad
4,1,2,NA,NA,1,10,0,1,A,INH 10X MIC,10µl 4 drops
4,2,2,NA,NA,1,10,0,1,A,INH 10X MIC,10µl 4 drops
4,3,2,NA,NA,1,10,0,1,A,INH 10X MIC,10µl 4 drops
4,1,2,400,2.60205999132796,2,10,0,0,A,INH 10X MIC,10µl single drop
4,2,2,NA,NA,2,10,0,1,A,INH 10X MIC,10µl single drop
4,3,2,500,2.69897000433602,2,10,0,0,A,INH 10X MIC,10µl single drop
4,1,2,NA,NA,3,2.5,0,1,A,INH 10X MIC,2.5µl single drop
4,2,2,NA,NA,3,2.5,0,1,A,INH 10X MIC,2.5µl single drop
4,3,2,400,2.60205999132796,3,2.5,0,0,A,INH 10X MIC,2.5µl single drop
0,1,3,49000,4.69019608002851,0,100,0,0,A,untreated,100µl quad
0,2,3,70000,4.84509804001426,0,100,0,0,A,untreated,100µl quad
0,3,3,55000,4.74036268949424,0,100,0,0,A,untreated,100µl quad
0,1,3,32000,4.50514997831991,1,10,0,0,A,untreated,10µl 4 drops
0,2,3,34000,4.53147891704226,1,10,0,0,A,untreated,10µl 4 drops
0,3,3,32000,4.50514997831991,1,10,0,0,A,untreated,10µl 4 drops
0,1,3,26000,4.41497334797082,2,10,0,0,A,untreated,10µl single drop
0,2,3,27000,4.43136376415899,2,10,0,0,A,untreated,10µl single drop
0,3,3,28000,4.44715803134222,2,10,0,0,A,untreated,10µl single drop
0,1,3,32000,4.50514997831991,3,2.5,0,0,A,untreated,2.5µl single drop
0,2,3,28000,4.44715803134222,3,2.5,0,0,A,untreated,2.5µl single drop
0,3,3,28000,4.44715803134222,3,2.5,0,0,A,untreated,2.5µl single drop
1,1,3,12000,4.07918124604763,0,100,0,0,A,MXF 1X MIC,100µl quad
1,2,3,16900,4.22788670461367,0,100,0,0,A,MXF 1X MIC,100µl quad
1,3,3,12300,4.0899051114394,0,100,0,0,A,MXF 1X MIC,100µl quad
1,1,3,20000,4.30102999566398,1,10,0,0,A,MXF 1X MIC,10µl 4 drops
1,2,3,20000,4.30102999566398,1,10,0,0,A,MXF 1X MIC,10µl 4 drops
1,3,3,25000,4.39794000867204,1,10,0,0,A,MXF 1X MIC,10µl 4 drops
1,1,3,19000,4.27875360095283,2,10,0,0,A,MXF 1X MIC,10µl single drop
1,2,3,19000,4.27875360095283,2,10,0,0,A,MXF 1X MIC,10µl single drop
1,3,3,18000,4.25527250510331,2,10,0,0,A,MXF 1X MIC,10µl single drop
1,1,3,16000,4.20411998265593,3,2.5,0,0,A,MXF 1X MIC,2.5µl single drop
1,2,3,12000,4.07918124604763,3,2.5,0,0,A,MXF 1X MIC,2.5µl single drop
1,3,3,20000,4.30102999566398,3,2.5,0,0,A,MXF 1X MIC,2.5µl single drop
2,1,3,70,1.84509804001426,0,100,0,0,A,MXF 10X MIC,100µl quad
2,2,3,80,1.90308998699194,0,100,0,0,A,MXF 10X MIC,100µl quad
2,3,3,100,2,0,100,0,0,A,MXF 10X MIC,100µl quad
2,1,3,400,2.60205999132796,1,10,0,0,A,MXF 10X MIC,10µl 4 drops
2,2,3,NA,NA,1,10,0,1,A,MXF 10X MIC,10µl 4 drops
2,3,3,NA,NA,1,10,0,1,A,MXF 10X MIC,10µl 4 drops
2,1,3,100,2,2,10,0,0,A,MXF 10X MIC,10µl single drop
2,2,3,NA,NA,2,10,0,1,A,MXF 10X MIC,10µl single drop
2,3,3,NA,NA,2,10,0,1,A,MXF 10X MIC,10µl single drop
2,1,3,800,2.90308998699194,3,2.5,0,0,A,MXF 10X MIC,2.5µl single drop
2,2,3,400,2.60205999132796,3,2.5,0,0,A,MXF 10X MIC,2.5µl single drop
2,3,3,400,2.60205999132796,3,2.5,0,0,A,MXF 10X MIC,2.5µl single drop
3,1,3,110,2.04139268515822,0,100,0,0,A,INH 1X MIC,100µl quad
3,2,3,70,1.84509804001426,0,100,0,0,A,INH 1X MIC,100µl quad
3,3,3,70,1.84509804001426,0,100,0,0,A,INH 1X MIC,100µl quad
3,1,3,NA,NA,1,10,0,1,A,INH 1X MIC,10µl 4 drops
3,2,3,NA,NA,1,10,0,1,A,INH 1X MIC,10µl 4 drops
3,3,3,NA,NA,1,10,0,1,A,INH 1X MIC,10µl 4 drops
3,1,3,NA,NA,2,10,0,1,A,INH 1X MIC,10µl single drop
3,2,3,NA,NA,2,10,0,1,A,INH 1X MIC,10µl single drop
3,3,3,NA,NA,2,10,0,1,A,INH 1X MIC,10µl single drop
3,1,3,NA,NA,3,2.5,0,1,A,INH 1X MIC,2.5µl single drop
3,2,3,400,2.60205999132796,3,2.5,0,0,A,INH 1X MIC,2.5µl single drop
3,3,3,NA,NA,3,2.5,0,1,A,INH 1X MIC,2.5µl single drop
4,1,3,10,1,0,100,0,0,A,INH 10X MIC,100µl quad
4,2,3,20,1.30102999566398,0,100,0,0,A,INH 10X MIC,100µl quad
4,3,3,NA,NA,0,100,0,1,A,INH 10X MIC,100µl quad
4,1,3,NA,NA,1,10,0,1,A,INH 10X MIC,10µl 4 drops
4,2,3,NA,NA,1,10,0,1,A,INH 10X MIC,10µl 4 drops
4,3,3,NA,NA,1,10,0,1,A,INH 10X MIC,10µl 4 drops
4,1,3,NA,NA,2,10,0,1,A,INH 10X MIC,10µl single drop
4,2,3,NA,NA,2,10,0,1,A,INH 10X MIC,10µl single drop
4,3,3,NA,NA,2,10,0,1,A,INH 10X MIC,10µl single drop
4,1,3,1200,3.07918124604762,3,2.5,0,0,A,INH 10X MIC,2.5µl single drop
4,2,3,800,2.90308998699194,3,2.5,0,0,A,INH 10X MIC,2.5µl single drop
4,3,3,400,2.60205999132796,3,2.5,0,0,A,INH 10X MIC,2.5µl single drop
0,1,7,390000,5.5910646070265,0,100,0,0,A,untreated,100µl quad
0,2,7,370000,5.56820172406699,0,100,0,0,A,untreated,100µl quad
0,3,7,430000,5.63346845557959,0,100,0,0,A,untreated,100µl quad
0,1,7,150000,5.17609125905568,1,10,0,0,A,untreated,10µl 4 drops
0,2,7,150000,5.17609125905568,1,10,0,0,A,untreated,10µl 4 drops
0,3,7,120000,5.07918124604763,1,10,0,0,A,untreated,10µl 4 drops
0,1,7,45000,4.65321251377534,2,10,0,0,A,untreated,10µl single drop
0,2,7,33000,4.51851393987789,2,10,0,0,A,untreated,10µl single drop
0,3,7,31000,4.49136169383427,2,10,0,0,A,untreated,10µl single drop
0,1,7,48000,4.68124123737559,3,2.5,0,0,A,untreated,2.5µl single drop
0,2,7,48000,4.68124123737559,3,2.5,0,0,A,untreated,2.5µl single drop
0,3,7,40000,4.60205999132796,3,2.5,0,0,A,untreated,2.5µl single drop
1,1,7,95000,4.97772360528885,0,100,0,0,A,MXF 1X MIC,100µl quad
1,2,7,95000,4.97772360528885,0,100,0,0,A,MXF 1X MIC,100µl quad
1,3,7,125000,5.09691001300806,0,100,0,0,A,MXF 1X MIC,100µl quad
1,1,7,140000,5.14612803567824,1,10,0,0,A,MXF 1X MIC,10µl 4 drops
1,2,7,100000,5,1,10,0,0,A,MXF 1X MIC,10µl 4 drops
1,3,7,50000,4.69897000433602,1,10,0,0,A,MXF 1X MIC,10µl 4 drops
1,1,7,20000,4.30102999566398,2,10,0,0,A,MXF 1X MIC,10µl single drop
1,2,7,22000,4.34242268082221,2,10,0,0,A,MXF 1X MIC,10µl single drop
1,3,7,40000,4.60205999132796,2,10,0,0,A,MXF 1X MIC,10µl single drop
1,1,7,32000,4.50514997831991,3,2.5,0,0,A,MXF 1X MIC,2.5µl single drop
1,2,7,32000,4.50514997831991,3,2.5,0,0,A,MXF 1X MIC,2.5µl single drop
1,3,7,36000,4.55630250076729,3,2.5,0,0,A,MXF 1X MIC,2.5µl single drop
2,1,7,NA,NA,0,100,0,1,A,MXF 10X MIC,100µl quad
2,2,7,40,1.60205999132796,0,100,0,0,A,MXF 10X MIC,100µl quad
2,3,7,50,1.69897000433602,0,100,0,0,A,MXF 10X MIC,100µl quad
2,1,7,100,2,1,10,0,0,A,MXF 10X MIC,10µl 4 drops
2,2,7,NA,NA,1,10,0,1,A,MXF 10X MIC,10µl 4 drops
2,3,7,NA,NA,1,10,0,1,A,MXF 10X MIC,10µl 4 drops
2,1,7,200,2.30102999566398,2,10,0,0,A,MXF 10X MIC,10µl single drop
2,2,7,NA,NA,2,10,0,1,A,MXF 10X MIC,10µl single drop
2,3,7,NA,NA,2,10,0,1,A,MXF 10X MIC,10µl single drop
2,1,7,400,2.60205999132796,3,2.5,0,0,A,MXF 10X MIC,2.5µl single drop
2,2,7,NA,NA,3,2.5,0,1,A,MXF 10X MIC,2.5µl single drop
2,3,7,NA,NA,3,2.5,0,1,A,MXF 10X MIC,2.5µl single drop
3,1,7,NA,NA,0,100,0,1,A,INH 1X MIC,100µl quad
3,2,7,NA,NA,0,100,0,1,A,INH 1X MIC,100µl quad
3,3,7,NA,NA,0,100,0,1,A,INH 1X MIC,100µl quad
3,1,7,NA,NA,1,10,0,1,A,INH 1X MIC,10µl 4 drops
3,2,7,NA,NA,1,10,0,1,A,INH 1X MIC,10µl 4 drops
3,3,7,NA,NA,1,10,0,1,A,INH 1X MIC,10µl 4 drops
3,1,7,NA,NA,2,10,0,1,A,INH 1X MIC,10µl single drop
3,2,7,NA,NA,2,10,0,1,A,INH 1X MIC,10µl single drop
3,3,7,NA,NA,2,10,0,1,A,INH 1X MIC,10µl single drop
3,1,7,NA,NA,3,2.5,0,1,A,INH 1X MIC,2.5µl single drop
3,2,7,NA,NA,3,2.5,0,1,A,INH 1X MIC,2.5µl single drop
3,3,7,NA,NA,3,2.5,0,1,A,INH 1X MIC,2.5µl single drop
4,1,7,NA,NA,0,100,0,1,A,INH 10X MIC,100µl quad
4,2,7,10,1,0,100,0,0,A,INH 10X MIC,100µl quad
4,3,7,NA,NA,0,100,0,1,A,INH 10X MIC,100µl quad
4,1,7,NA,NA,1,10,0,1,A,INH 10X MIC,10µl 4 drops
4,2,7,NA,NA,1,10,0,1,A,INH 10X MIC,10µl 4 drops
4,3,7,NA,NA,1,10,0,1,A,INH 10X MIC,10µl 4 drops
4,1,7,100,2,2,10,0,0,A,INH 10X MIC,10µl single drop
4,2,7,NA,NA,2,10,0,1,A,INH 10X MIC,10µl single drop
4,3,7,NA,NA,2,10,0,1,A,INH 10X MIC,10µl single drop
4,1,7,NA,NA,3,2.5,0,1,A,INH 10X MIC,2.5µl single drop
4,2,7,NA,NA,3,2.5,0,1,A,INH 10X MIC,2.5µl single drop
4,3,7,NA,NA,3,2.5,0,1,A,INH 10X MIC,2.5µl single drop
0,1,10,610000,5.78532983501077,0,100,0,0,A,untreated,100µl quad
0,2,10,640000,5.80617997398389,0,100,0,0,A,untreated,100µl quad
0,3,10,460000,5.66275783168157,0,100,0,0,A,untreated,100µl quad
0,1,10,350000,5.54406804435028,1,10,0,0,A,untreated,10µl 4 drops
0,2,10,300000,5.47712125471966,1,10,0,0,A,untreated,10µl 4 drops
0,3,10,280000,5.44715803134222,1,10,0,0,A,untreated,10µl 4 drops
0,1,10,260000,5.41497334797082,2,10,0,0,A,untreated,10µl single drop
0,2,10,320000,5.50514997831991,2,10,0,0,A,untreated,10µl single drop
0,3,10,280000,5.44715803134222,2,10,0,0,A,untreated,10µl single drop
0,1,10,52000,4.7160033436348,3,2.5,0,0,A,untreated,2.5µl single drop
0,2,10,56000,4.7481880270062,3,2.5,0,0,A,untreated,2.5µl single drop
0,3,10,64000,4.80617997398389,3,2.5,0,0,A,untreated,2.5µl single drop
1,1,10,300000,5.47712125471966,0,100,0,0,A,MXF 1X MIC,100µl quad
1,2,10,240000,5.38021124171161,0,100,0,0,A,MXF 1X MIC,100µl quad
1,3,10,130000,5.11394335230684,0,100,0,0,A,MXF 1X MIC,100µl quad
1,1,10,150000,5.17609125905568,1,10,0,0,A,MXF 1X MIC,10µl 4 drops
1,2,10,90000,4.95424250943933,1,10,0,0,A,MXF 1X MIC,10µl 4 drops
1,3,10,140000,5.14612803567824,1,10,0,0,A,MXF 1X MIC,10µl 4 drops
1,1,10,170000,5.23044892137827,2,10,0,0,A,MXF 1X MIC,10µl single drop
1,2,10,190000,5.27875360095283,2,10,0,0,A,MXF 1X MIC,10µl single drop
1,3,10,150000,5.17609125905568,2,10,0,0,A,MXF 1X MIC,10µl single drop
1,1,10,32000,4.50514997831991,3,2.5,0,0,A,MXF 1X MIC,2.5µl single drop
1,2,10,52000,4.7160033436348,3,2.5,0,0,A,MXF 1X MIC,2.5µl single drop
1,3,10,44000,4.64345267648619,3,2.5,0,0,A,MXF 1X MIC,2.5µl single drop
2,1,10,40,1.60205999132796,0,100,0,0,A,MXF 10X MIC,100µl quad
2,2,10,20,1.30102999566398,0,100,0,0,A,MXF 10X MIC,100µl quad
2,3,10,40,1.60205999132796,0,100,0,0,A,MXF 10X MIC,100µl quad
2,1,10,NA,NA,1,10,0,1,A,MXF 10X MIC,10µl 4 drops
2,2,10,NA,NA,1,10,0,1,A,MXF 10X MIC,10µl 4 drops
2,3,10,NA,NA,1,10,0,1,A,MXF 10X MIC,10µl 4 drops
2,1,10,NA,NA,2,10,0,1,A,MXF 10X MIC,10µl single drop
2,2,10,NA,NA,2,10,0,1,A,MXF 10X MIC,10µl single drop
2,3,10,NA,NA,2,10,0,1,A,MXF 10X MIC,10µl single drop
2,1,10,NA,NA,3,2.5,0,1,A,MXF 10X MIC,2.5µl single drop
2,2,10,NA,NA,3,2.5,0,1,A,MXF 10X MIC,2.5µl single drop
2,3,10,NA,NA,3,2.5,0,1,A,MXF 10X MIC,2.5µl single drop
3,1,10,NA,NA,0,100,0,0,A,INH 1X MIC,100µl quad
3,2,10,90,1.95424250943932,0,100,0,0,A,INH 1X MIC,100µl quad
3,3,10,90,1.95424250943932,0,100,0,0,A,INH 1X MIC,100µl quad
3,1,10,NA,NA,1,10,0,0,A,INH 1X MIC,10µl 4 drops
3,2,10,NA,NA,1,10,0,1,A,INH 1X MIC,10µl 4 drops
3,3,10,NA,NA,1,10,0,1,A,INH 1X MIC,10µl 4 drops
3,1,10,NA,NA,2,10,0,0,A,INH 1X MIC,10µl single drop
3,2,10,100,2,2,10,0,0,A,INH 1X MIC,10µl single drop
3,3,10,NA,NA,2,10,0,1,A,INH 1X MIC,10µl single drop
3,1,10,NA,NA,3,2.5,0,0,A,INH 1X MIC,2.5µl single drop
3,2,10,NA,NA,3,2.5,0,1,A,INH 1X MIC,2.5µl single drop
3,3,10,NA,NA,3,2.5,0,1,A,INH 1X MIC,2.5µl single drop
4,1,10,NA,NA,0,100,0,1,A,INH 10X MIC,100µl quad
4,2,10,NA,NA,0,100,0,1,A,INH 10X MIC,100µl quad
4,3,10,NA,NA,0,100,0,1,A,INH 10X MIC,100µl quad
4,1,10,NA,NA,1,10,0,1,A,INH 10X MIC,10µl 4 drops
4,2,10,NA,NA,1,10,0,1,A,INH 10X MIC,10µl 4 drops
4,3,10,NA,NA,1,10,0,1,A,INH 10X MIC,10µl 4 drops
4,1,10,NA,NA,2,10,0,1,A,INH 10X MIC,10µl single drop
4,2,10,NA,NA,2,10,0,1,A,INH 10X MIC,10µl single drop
4,3,10,NA,NA,2,10,0,1,A,INH 10X MIC,10µl single drop
4,1,10,NA,NA,3,2.5,0,1,A,INH 10X MIC,2.5µl single drop
4,2,10,NA,NA,3,2.5,0,1,A,INH 10X MIC,2.5µl single drop
4,3,10,NA,NA,3,2.5,0,1,A,INH 10X MIC,2.5µl single drop
0,1,14,5600000,6.7481880270062,0,100,0,0,A,untreated,100µl quad
0,2,14,4300000,6.63346845557959,0,100,0,0,A,untreated,100µl quad
0,3,14,5200000,6.7160033436348,0,100,0,0,A,untreated,100µl quad
0,1,14,3700000,6.56820172406699,1,10,0,0,A,untreated,10µl 4 drops
0,2,14,4000000,6.60205999132796,1,10,0,0,A,untreated,10µl 4 drops
0,3,14,4000000,6.60205999132796,1,10,0,0,A,untreated,10µl 4 drops
0,1,14,320000,5.50514997831991,2,10,0,0,A,untreated,10µl single drop
0,2,14,280000,5.44715803134222,2,10,0,0,A,untreated,10µl single drop
0,3,14,260000,5.41497334797082,2,10,0,0,A,untreated,10µl single drop
0,1,14,200000,5.30102999566398,3,2.5,0,0,A,untreated,2.5µl single drop
0,2,14,280000,5.44715803134222,3,2.5,0,0,A,untreated,2.5µl single drop
0,3,14,240000,5.38021124171161,3,2.5,0,0,A,untreated,2.5µl single drop
1,1,14,3100000,6.49136169383427,0,100,0,0,A,MXF 1X MIC,100µl quad
1,2,14,2900000,6.46239799789896,0,100,0,0,A,MXF 1X MIC,100µl quad
1,3,14,1700000,6.23044892137827,0,100,0,0,A,MXF 1X MIC,100µl quad
1,1,14,3200000,6.50514997831991,1,10,0,0,A,MXF 1X MIC,10µl 4 drops
1,2,14,2800000,6.44715803134222,1,10,0,0,A,MXF 1X MIC,10µl 4 drops
1,3,14,2600000,6.41497334797082,1,10,0,0,A,MXF 1X MIC,10µl 4 drops
1,1,14,230000,5.36172783601759,2,10,0,0,A,MXF 1X MIC,10µl single drop
1,2,14,210000,5.32221929473392,2,10,0,0,A,MXF 1X MIC,10µl single drop
1,3,14,200000,5.30102999566398,2,10,0,0,A,MXF 1X MIC,10µl single drop
1,1,14,80000,4.90308998699194,3,2.5,0,0,A,MXF 1X MIC,2.5µl single drop
1,2,14,240000,5.38021124171161,3,2.5,0,0,A,MXF 1X MIC,2.5µl single drop
