dataset,organism,state,state_numeric,drug,dose_value,dose_unit,dose_xmic,unit_group,n0_log10,time_days,y_log10,censored,limit_log10,notes
kaur2024_apramycin,M. tuberculosis,planktonic,,apramycin,8.0,ug/mL,,kaur_kk_apramycin_8ugmL_r2,7.049218022670182,3.0,6.510545010206612,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed"
kaur2024_apramycin,M. tuberculosis,planktonic,,apramycin,8.0,ug/mL,,kaur_kk_apramycin_8ugmL_r3,7.033423755486949,3.0,6.515873843711679,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed"
kaur2024_apramycin,M. tuberculosis,planktonic,,apramycin,4.0,ug/mL,,kaur_kk_apramycin_4ugmL_r1,6.963787827345556,3.0,6.924279286061882,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed"
kaur2024_apramycin,M. tuberculosis,planktonic,,apramycin,4.0,ug/mL,,kaur_kk_apramycin_4ugmL_r2,7.049218022670182,3.0,6.857332496431268,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed"
kaur2024_apramycin,M. tuberculosis,planktonic,,apramycin,4.0,ug/mL,,kaur_kk_apramycin_4ugmL_r3,7.033423755486949,3.0,6.1,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed; cell is a 2-dp rounded entry, not a computed log10"
kaur2024_apramycin,M. tuberculosis,planktonic,,apramycin,1.0,ug/mL,,kaur_kk_apramycin_1ugmL_r1,6.963787827345556,3.0,7.35,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed; cell is a 2-dp rounded entry, not a computed log10"
kaur2024_apramycin,M. tuberculosis,planktonic,,apramycin,1.0,ug/mL,,kaur_kk_apramycin_1ugmL_r2,7.049218022670182,3.0,7.11,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed; cell is a 2-dp rounded entry, not a computed log10"
kaur2024_apramycin,M. tuberculosis,planktonic,,apramycin,1.0,ug/mL,,kaur_kk_apramycin_1ugmL_r3,7.033423755486949,3.0,7.55,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed; cell is a 2-dp rounded entry, not a computed log10"
kaur2024_apramycin,M. tuberculosis,planktonic,,amikacin,128.0,ug/mL,,kaur_kk_amikacin_128ugmL_r1,6.963787827345556,3.0,5.85,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed; cell is a 2-dp rounded entry, not a computed log10"
kaur2024_apramycin,M. tuberculosis,planktonic,,amikacin,128.0,ug/mL,,kaur_kk_amikacin_128ugmL_r2,7.049218022670182,3.0,5.78,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed; cell is a 2-dp rounded entry, not a computed log10"
kaur2024_apramycin,M. tuberculosis,planktonic,,amikacin,128.0,ug/mL,,kaur_kk_amikacin_128ugmL_r3,7.033423755486949,3.0,6.1,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed; cell is a 2-dp rounded entry, not a computed log10"
kaur2024_apramycin,M. tuberculosis,planktonic,,amikacin,32.0,ug/mL,,kaur_kk_amikacin_32ugmL_r1,6.963787827345556,3.0,6.049218022670182,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed"
kaur2024_apramycin,M. tuberculosis,planktonic,,amikacin,32.0,ug/mL,,kaur_kk_amikacin_32ugmL_r2,7.049218022670182,3.0,6.093421685162235,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed"
kaur2024_apramycin,M. tuberculosis,planktonic,,amikacin,32.0,ug/mL,,kaur_kk_amikacin_32ugmL_r3,7.033423755486949,3.0,6.017033339298781,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed"
kaur2024_apramycin,M. tuberculosis,planktonic,,amikacin,8.0,ug/mL,,kaur_kk_amikacin_8ugmL_r1,6.963787827345556,3.0,6.146128035678238,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed"
kaur2024_apramycin,M. tuberculosis,planktonic,,amikacin,8.0,ug/mL,,kaur_kk_amikacin_8ugmL_r2,7.049218022670182,3.0,6.181843587944773,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed"
kaur2024_apramycin,M. tuberculosis,planktonic,,amikacin,8.0,ug/mL,,kaur_kk_amikacin_8ugmL_r3,7.033423755486949,3.0,6.1702617153949575,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed"
kaur2024_apramycin,M. tuberculosis,planktonic,,amikacin,4.0,ug/mL,,kaur_kk_amikacin_4ugmL_r1,6.963787827345556,3.0,6.225309281725863,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed"
kaur2024_apramycin,M. tuberculosis,planktonic,,amikacin,4.0,ug/mL,,kaur_kk_amikacin_4ugmL_r2,7.049218022670182,3.0,6.235528446907549,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed"
kaur2024_apramycin,M. tuberculosis,planktonic,,amikacin,4.0,ug/mL,,kaur_kk_amikacin_4ugmL_r3,7.033423755486949,3.0,6.27415784926368,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed"
kaur2024_apramycin,M. tuberculosis,planktonic,,amikacin,1.0,ug/mL,,kaur_kk_amikacin_1ugmL_r1,6.963787827345556,3.0,7.35,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed; cell is a 2-dp rounded entry, not a computed log10"
kaur2024_apramycin,M. tuberculosis,planktonic,,amikacin,1.0,ug/mL,,kaur_kk_amikacin_1ugmL_r2,7.049218022670182,3.0,6.95,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed; cell is a 2-dp rounded entry, not a computed log10"
kaur2024_apramycin,M. tuberculosis,planktonic,,amikacin,1.0,ug/mL,,kaur_kk_amikacin_1ugmL_r3,7.033423755486949,3.0,7.7,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed; cell is a 2-dp rounded entry, not a computed log10"
kaur2024_apramycin,M. tuberculosis,planktonic,,none,,,,kaur_kk_none_untreated_r1,6.963787827345556,3.0,7.6,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed; cell is a 2-dp rounded entry, not a computed log10; untreated cell control"
kaur2024_apramycin,M. tuberculosis,planktonic,,none,,,,kaur_kk_none_untreated_r2,7.049218022670182,3.0,7.832508912706237,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed; untreated cell control"
kaur2024_apramycin,M. tuberculosis,planktonic,,none,,,,kaur_kk_none_untreated_r3,7.033423755486949,3.0,8.0,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed; cell is a 2-dp rounded entry, not a computed log10; untreated cell control"
kaur2024_apramycin,M. tuberculosis,planktonic,,apramycin,128.0,ug/mL,,kaur_kk_apramycin_128ugmL_r1,6.963787827345556,7.0,3.9,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed; cell is a 2-dp rounded entry, not a computed log10"
kaur2024_apramycin,M. tuberculosis,planktonic,,apramycin,128.0,ug/mL,,kaur_kk_apramycin_128ugmL_r2,7.049218022670182,7.0,3.8,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed; cell is a 2-dp rounded entry, not a computed log10"
kaur2024_apramycin,M. tuberculosis,planktonic,,apramycin,128.0,ug/mL,,kaur_kk_apramycin_128ugmL_r3,7.033423755486949,7.0,3.4,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed; cell is a 2-dp rounded entry, not a computed log10"
kaur2024_apramycin,M. tuberculosis,planktonic,,apramycin,32.0,ug/mL,,kaur_kk_apramycin_32ugmL_r1,6.963787827345556,7.0,4.049218022670182,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed"
kaur2024_apramycin,M. tuberculosis,planktonic,,apramycin,32.0,ug/mL,,kaur_kk_apramycin_32ugmL_r2,7.049218022670182,7.0,4.064457989226918,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed"
kaur2024_apramycin,M. tuberculosis,planktonic,,apramycin,32.0,ug/mL,,kaur_kk_apramycin_32ugmL_r3,7.033423755486949,7.0,4.093421685162235,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed"
kaur2024_apramycin,M. tuberculosis,planktonic,,apramycin,8.0,ug/mL,,kaur_kk_apramycin_8ugmL_r1,6.963787827345556,7.0,4.8,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed; cell is a 2-dp rounded entry, not a computed log10"
kaur2024_apramycin,M. tuberculosis,planktonic,,apramycin,8.0,ug/mL,,kaur_kk_apramycin_8ugmL_r2,7.049218022670182,7.0,4.7,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed; cell is a 2-dp rounded entry, not a computed log10"
kaur2024_apramycin,M. tuberculosis,planktonic,,apramycin,8.0,ug/mL,,kaur_kk_apramycin_8ugmL_r3,7.033423755486949,7.0,4.11,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed; cell is a 2-dp rounded entry, not a computed log10"
kaur2024_apramycin,M. tuberculosis,planktonic,,apramycin,4.0,ug/mL,,kaur_kk_apramycin_4ugmL_r1,6.963787827345556,7.0,5.1,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed; cell is a 2-dp rounded entry, not a computed log10"
kaur2024_apramycin,M. tuberculosis,planktonic,,apramycin,4.0,ug/mL,,kaur_kk_apramycin_4ugmL_r2,7.049218022670182,7.0,5.45,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed; cell is a 2-dp rounded entry, not a computed log10"
kaur2024_apramycin,M. tuberculosis,planktonic,,apramycin,4.0,ug/mL,,kaur_kk_apramycin_4ugmL_r3,7.033423755486949,7.0,5.6,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed; cell is a 2-dp rounded entry, not a computed log10"
kaur2024_apramycin,M. tuberculosis,planktonic,,apramycin,1.0,ug/mL,,kaur_kk_apramycin_1ugmL_r1,6.963787827345556,7.0,7.963787827345556,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed"
kaur2024_apramycin,M. tuberculosis,planktonic,,apramycin,1.0,ug/mL,,kaur_kk_apramycin_1ugmL_r2,7.049218022670182,7.0,8.0,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed; cell is a 2-dp rounded entry, not a computed log10"
kaur2024_apramycin,M. tuberculosis,planktonic,,apramycin,1.0,ug/mL,,kaur_kk_apramycin_1ugmL_r3,7.033423755486949,7.0,7.944482672150168,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed"
kaur2024_apramycin,M. tuberculosis,planktonic,,amikacin,128.0,ug/mL,,kaur_kk_amikacin_128ugmL_r1,6.963787827345556,7.0,3.55,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed; cell is a 2-dp rounded entry, not a computed log10"
kaur2024_apramycin,M. tuberculosis,planktonic,,amikacin,128.0,ug/mL,,kaur_kk_amikacin_128ugmL_r2,7.049218022670182,7.0,3.6,False,,"planktonic time-kill, days 0/3/7/14; dose in ug/mL as reported, MIC not given in the workbook so dose_xmic is NaN; n0_log10 is the replicate-index-matched Day 0 cell control, the single untreated baseline the sheet provides (replicate correspondence between that row and the treated arms is assumed by column index, it is not stated by the deposit); no limit of quantification stated anywhere in the deposit; limit_log10 left NaN, not guessed; cell is a 2-dp rounded entry, not a computed log10"
