study_id,doi,pmid,pmcid,species,strain,drug,drug_class,mono_or_combo,n_exposure_levels,concentration_range,MIC_reported,exposure_type,duration_h,n_sampling_times,sampling_times,readout,n_replicates,inoculum_cfu_ml,LOD_cfu_ml,system,growth_state,published_pd_model,published_params,data_source,data_availability,role,verified_by,verified_date,repository,record_url,licence,licence_class,redistributable,has_time_series,has_starting_density,has_floor_or_volume,headroom_computable,n_series,acquisition,permission_status,notes
NORDHOLT2024,"10.1128/spectrum.03276-22 — Dataset S1 spectrum.03276-22-s0002.xlsx, Dataset S2 spectrum.03276-22-s0003.xlsx",,,Escherichia coli K-12 MG1655,,"Six disinfectant active substances, NOT antibiotics: hydrogen peroxide, glutaraldehyde, chlorhexidine, benzalkonium chlo",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,journal-source-data (verification pass),https://pmc.ncbi.nlm.nih.gov/articles/PMC11619369/,"SPLIT — and this is the legal trap the prior agent correctly flagged, which I confirmed verbatim. The ARTICLE is CC BY 4.0 (""Copyright © 2024 Nordholt et al."", creativecommons.org/licenses/by/4.0/ in ",USE_OK_REDIST_OK,yes,YES — verified by opening the workbook. One sheet per agent ,"YES, as absolute counts — read off the sheets. t=0 rows for ","YES, derivable, and the paper engages the issue head-on — I read all of this verbatim from the JATS XML. Methods: cells ""diluted to a final ",no: neither reported,"Dataset S1: 8 sheets, 16,681 bytes, six agents x 3-6 biological replicates x 8-16 timepoin",deposit,not requested,"Two xlsx. Dataset S1 has an ""Explanations"" sheet (""All data are given in cfu/ml. Time is given in minutes."") plus one sheet per disinfectant, each a Time [min] x replicate matrix of CFU/mL with genuine zeros recorded as 0 once the population falls below the floor. Dataset S2 holds source data for Fig. 2 (evolution/perc"
EDOO2026,10.1038/s41467-026-71460-6 (Source Data: 41467_2026_71460_MOESM6_ESM.xlsx),,,Mycobacterium tuberculosis H37Rv and H37Rv delta-adhD; plus BALB/c mouse infection model,,"Ethionamide (2.5 and 25 mg/L), isoniazid (2.5 mg/L), alpibectir (BVL-GSK098; 0.3 mg/L), Eto+alpibectir combinations; mou",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,Tuberculosis programmes and consortia (E,"https://pmc.ncbi.nlm.nih.gov/articles/PMC13234193/ (Source Data file retrieved as 41467_2026_71460_MOESM6_ESM.xlsx, 325,550 bytes, via https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13234193/supplementaryFiles)",CC BY 4.0 (Creative Commons Attribution 4.0 International) — confirmed from the Europe PMC core record licence field for PMC13234193,USE_OK_REDIST_OK,yes,YES — verified by opening the workbook and printing every ro,"YES — Day 0 values are explicit per replicate, e.g. 6.30 / 6",YES — the paper states the limit of detection as 10^2 CFU/mL and the data show it plainly: censored readings sit pinned at the literal value,no: neither reported,In vitro: 2 strains x 7 conditions x 3 replicates x 6 timepoints = 252 log CFU/mL readings,deposit,not requested,"Sheet 'Fig 6' is a clean in vitro time-kill matrix: rows = Day 0, 2, 4, 7, 14, 21; columns = 7 treatment conditions x 3 biological replicates, given as log CFU/mL, for two strains (two stacked blocks in one sheet). That is 2 strains x 7 conditions x 3 replicates x 6 timepoints = 252 individual readings. Sheet 'Fig 7' a"
BORRELLI2025,"10.1038/s41564-025-02133-1 — CFU-bearing source data are spread across 41564_2025_2133_MOESM10 (Fig. 1), MOESM12 (Fig. 3), MOESM14 (Fig. 4), MOESM16 (Fig. 5), M",,,"RESOLVED — the prior entry said this was unconfirmed. The Fig. 1 legend states verbatim: ""Survival of exponential-phase ",,"Polymyxin B (4 µg/mL in Fig. 1a), with and without glucose supplementation and with 2-deoxyglucose; the wider article al",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,journal-source-data (verification pass),https://pmc.ncbi.nlm.nih.gov/articles/PMC12578643/ ; files at https://static-content.springer.com/esm/art%3A10.1038%2Fs41564-025-02133-1/MediaObjects/41564_2025_2133_MOESM<N>_ESM.xlsx,"CC BY 4.0 — Europe PMC licence field ""cc by"" and the creativecommons.org/licenses/by/4.0 statement in the PMC permissions block. Nature Source Data is covered by the article licence. Redistributable w",USE_OK_REDIST_OK,yes,"YES — verified, and MUCH more of it than previously reported",YES — verified. Methods state cells were resuspended to 10^8,"NO — not stated. Methods describe ""10-fold serial dilutions were made in PBS and plated onto Mueller-Hinton agar"" with no plated volume and ",no: neither reported,"Nine CFU-bearing xlsx totalling roughly 430 KB (MOESM10 72,608 bytes; MOESM12 46,837; MOES",deposit,not requested,"A set of per-figure Source Data xlsx. Time-indexed log10 CFU/mL kill curves appear in Figure 1 A (E. coli, four conditions x three experiments), Figure 4 A/F/G, Figure 5 A, Extended Data Figure 1 C, Extended Data Figure 4 A (Pseudomonas) and Extended Data Figure 8 A-C (four experiments per condition). Eight further CFU"
GOORMAGHTIGH2021,"10.1371/journal.pbio.3001194 — S1 Data file pbio.3001194.s015.xlsx (""Numerical raw data"")",,,"Escherichia coli MG1655 wild type, DaceA (aceA deletion) and Dicd (icd deletion); also W3110D mVenus fusion reporter str",,A fluoroquinolone persister assay (ofloxacin is the standard agent in this system); the sheet header names only the stra,,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,Data attached to journal articles rather,https://pmc.ncbi.nlm.nih.gov/articles/PMC8084331/,CC BY 4.0. Read from the creativecommons.org statement inside the PMC JATS XML for PMC8084331 and corroborated by the Europe PMC license field. PLOS Supporting Information is covered by the article li,USE_OK_REDIST_OK,yes,"YES, for part of the file. Verified by opening the workbook.","YES. The t=0 row of sheet ""Fig S1A"" gives absolute counts of","NO. Not stated in the workbook, and I did not find a limit of detection or plated volume. One cell in sheet Fig S1A carries an in-cell annot",no: neither reported,"22 sheets, 37,626 rows total, 3,082,298 bytes — but most of that volume is single-cell flu",deposit,not requested,"S1 Data xlsx, 22 sheets of numerical raw data underlying the figures. Sheet ""Fig S1A"" holds CFU/mL against time in hours for E. coli MG1655 and metabolic knockouts under antibiotic treatment. The remaining sheets are predominantly single-cell fluorescence ratios, ATP reporter data and kymograph measurements rather than"
BIOENERGETIC2025,10.1038/s41467-025-60302-6 — Source Data file 41467_2025_60302_MOESM13_ESM.xlsx,,,"Escherichia coli MG1655 and derivatives (dETC, datpA, drelA dspoT, drpoS), with pEmpty / pF1 / pNOX plasmids",,"Ciprofloxacin (the lethality assays), plus rifampicin selection for mutation-rate sheets. Genetic perturbations rather t",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,Data attached to journal articles rather,https://pmc.ncbi.nlm.nih.gov/articles/PMC12149317/ ; file at https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-60302-6/MediaObjects/41467_2025_60302_MOESM13_ESM.xlsx,"CC BY-NC-ND 4.0. Read from the creativecommons.org URL inside the PMC JATS XML for PMC12149317 and corroborated by the Europe PMC license field. NOT redistributable in a public repository, and the ND ",USE_OK_REDIST_NO,no,YES. Verified by opening the workbook. Many sheets are laid ,NO — this is the disqualifying gap. The kill sheets are head,"NO. Not stated in the workbook. And because the data are normalised, a floor could not be applied even if known without recovering the denom",no: neither reported,"75 sheets, 3,353,396 bytes. Roughly 10 sheets carry survival time series at 3-4 timepoints",deposit,not requested,"One Source Data xlsx with 75 well-labelled sheets, each carrying a prose description in its second row. About ten sheets hold ciprofloxacin lethality time courses. CRITICAL LIMITATION: these sheets report ""Fraction survival"" normalised to the t=0 value, not absolute CFU/mL."
ZHU2022,"10.1038/s41467-022-30967-4 — Supplementary Data 8, file 41467_2022_30967_MOESM11_ESM.xlsx (the article's Data availability paragraph states verbatim: ""Growth an",,,"Streptococcus pneumoniae TIGR4 wild type plus single-gene deletion mutants (ΔSP_1888, ΔSP_0006, ΔSP_0288, ΔSP_1068, ΔSP_",,"Gentamicin (at 5x and 10x MIC), vancomycin, ciprofloxacin, co-trimoxazole/SXT, cefepime, meropenem, levofloxacin, daptom",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,journal-source-data (verification pass),https://pmc.ncbi.nlm.nih.gov/articles/PMC9174251/ ; file at https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-022-30967-4/MediaObjects/41467_2022_30967_MOESM11_ESM.xlsx,CC BY 4.0 — read from the creativecommons.org/licenses/by/4.0 statement in the PMC JATS permissions block for PMC9174251. Nature Supplementary Data is covered by the article licence. Redistributable w,USE_OK_REDIST_OK,yes,"YES, but SPARSE — verified by opening the workbook. Each tol","YES, as absolute counts — read off the sheets. Wild-type t=0","NO — not stated, but the censoring is visible in the data, which makes this unusually useful. Methods verbatim: ""Tolerance experiments were ",no: neither reported,"Supplementary Data 8 is 176,459 bytes, 31 sheets: 19 GROWTH sheets (OD-based, ~84-123 rows",deposit,not requested,"One xlsx, 31 sheets. Sheets ending TOLERANCE (e.g. ""1888 GEN TOLERANCE"", ""0288 SXT Tolerance"", ""1068 CIP TOLERANCE"", ""1396 MEM TOLERANCE"") each hold absolute CFU/mL at 0, 8 and 24 h for wild type and one mutant, four replicates each, followed by a computed survival Fraction block. Sheets ending GROWTH are OD600 growth "
MIYAHARA2026,Dataset DOI 10.6084/m9.figshare.30780101.v1 ; article DOI 10.1038/s44259-025-00180-6,,,"Escherichia coli CFT073, a clinical uropathogenic isolate (plus a YFP-tagged derivative). Deliberately not a lab-adapted",,"Ampicillin, at two concentrations compared head-to-head in sheet S1b (labelled 12.5 and 25, i.e. µg/mL). Sheet Fig3c add",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,journal-source-data (verification pass),https://doi.org/10.6084/m9.figshare.30780101 (API record https://api.figshare.com/v2/articles/30780101 ; article https://pmc.ncbi.nlm.nih.gov/articles/PMC12864937/),"CC0 1.0 — read from the figshare API record itself (license.name ""CC0"", url creativecommons.org/publicdomain/zero/1.0/). This is the most permissive licence in the entire corpus and the only CC0 item;",USE_OK_REDIST_OK,yes,"YES — verified by downloading and opening the file. Sheet ""F","YES, as absolute counts — read off the sheet. S1a t=0 across","NO — I searched the article text and ""limit of detection"" does not appear; no plated volume or dilution scheme is given for the bulk CFU ass",no: neither reported,"17 xlsx totalling ~880 KB, one per figure. The CFU content is confined to sheet ""FigS1"" of",deposit,not requested,"Seventeen xlsx, one per figure panel group, deposited as the article's figure source data. Only Fig1_S1.xlsx sheet ""FigS1"" holds plate-count kill curves (three blocks: strain comparison, ampicillin concentration comparison, and the YFP derivative). Sheets Fig1b/Fig1c hold microscope cell counts and derived lysis rates;"
NOREL2023,10.5281/zenodo.10277562 (concept DOI 10.5281/zenodo.10277561) — matches the record I opened,,,"Salmonella enterica serovar Typhimurium ATCC14028 (strain 6910) plus ~50 isogenic mutants (DrpoS/C331, DsdhAB/F125, Dsdh",,"Ampicillin, ciprofloxacin, norfloxacin. CORRECTION to the prior report: the sheet labels '100 mg/ml' (ampicillin) and '5",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,tolerance-labs (persistence/tolerance de,https://zenodo.org/records/10277562 (record JSON via https://zenodo.org/api/records/10277562; all 91 files downloaded via https://zenodo.org/api/records/10277562/files-archive),"CC BY 4.0 — read from the Zenodo record JSON (metadata.license.id = 'cc-by-4.0', access_right 'open'). Redistributable.",USE_OK_REDIST_OK,yes,"YES — verified. Timepoints (min): 0, 60, 70, 100, 110, 120, ","YES — verified. 1,005 t=0 absolute CFU/mL readings, range 0 ",YES — verified verbatim from PROTOCOL.pdf: '100 microliters of the pure and diluted culture (10-1 10-2 10-3 10-4) are spread on LB plates'. ,no: neither reported,"89 experiment workbooks; 106 sheets; ~1,001 series; ~3,356 absolute CFU/mL readings",deposit,not requested,"91 files: 89 .xlsx workbooks (one per experiment, M1..M101) + PROTOCOL.pdf + STUDY.pdf. My independent parse: 106 sheets, 98 carrying a 'time (min)' header, ~1,001 strain-by-experiment series and ~3,380 numeric cells, of which ~3,356 are absolute CFU/mL (the other 24 are OD600 growth readings in sheet 'Data M80' only —"
KOLLEROVA2024,10.5061/dryad.rr4xgxdbj (Zenodo mirror record id 6578974) — matches. Record title is 'Single-cell phenotypic characteristics of tolerance under recurring antibi,,,Escherichia coli MG1655,,"Ampicillin, recurrent exposure at 0, 2, 4, 8, 16, 32, 64, 128 ug/mL",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,tolerance-labs (persistence/tolerance de,https://zenodo.org/records/6578974 (Zenodo mirror of the Dryad deposit; record JSON via https://zenodo.org/api/records/6578974),CC0 1.0 — Zenodo mirror metadata.license.id = 'cc-zero'; Dryad record license field = https://spdx.org/licenses/CC0-1.0.html. Redistributable.,USE_OK_REDIST_OK,yes,"YES — verified. 6 samplings per culture at TimeMin 60, 150, ","YES — verified, and I checked the concern that the first rea","YES, and the strongest in the corpus. Vol_plated_mL = 0.005 on every row, Dilution_factor given per row (1 to 1e5), so the per-observation f",no: neither reported,"384 CFU rows (64 cultures x 6 timepoints), 22 of them zero-count; plus 72 OD traces; plus ",deposit,not requested,"13 files. The load-bearing one is R_long_data_Alex_and_Sara_CFU_counts.csv — exactly 384 data rows, semicolon-delimited, columns Time;TimeMin;Column;Conc;Replicates_Row;N_of_colonies;Dilution_factor;Vol_plated_mL;CFU_mL. Raw colony counts alongside dilution and plated volume, not just a derived concentration. README.tx"
STEWART2012,10.5061/dryad.h7d843j6 (Zenodo mirror record id 5000525) — matches,,,"Escherichia coli — 24 ECOR reference isolates (ECOR 1, 3, 9, 11, 14, 16, 23, 26, 29, 32, 33, 38, 39, 40, 44, 48, 50, 53,",,"Ampicillin, streptomycin, norfloxacin — confirmed as the three column-block headers at columns A, I and Q",,,,,,,,,,,,,,,,,,deposit,,CANDIDATE,"corpus hunt, verified pass",2026-09-07,tolerance-labs (persistence/tolerance de,https://zenodo.org/records/5000525 (Zenodo mirror; record JSON via https://zenodo.org/api/records/5000525),CC0 1.0 — Zenodo mirror metadata.license.id = 'cc-zero'; Dryad record license = https://spdx.org/licenses/CC0-1.0.html. Redistributable.,USE_OK_REDIST_OK,yes,"YES — verified. 5 timepoints per culture: 0, 60, 120, 180, 2","YES — verified. Absolute t=0 CFU/mL per replicate, typically","NO — no plated volume, dilution or stated LOD anywhere. NEW and useful: 16 readings are exactly 1 CFU/mL, which is not a possible plate coun",no: neither reported,CORRECTED: 658 absolute CFU/mL readings across 132 replicate series (66 strain-by-drug blo,deposit,not requested,"One file Stewart&Rozen_archived_data.xls (xlsx internally — confirmed). Sheet 'Timekill curves' (195 x 23): three side-by-side drug blocks, each an 8-row unit per strain giving Time(min), Rep1, Rep2 in absolute CFU/mL, then the derived survival fractions, Mean and SE. Sheet 'Competitions' (108 rows) is pairwise competi"
